ㄝ ㄝ e , big5
迸 ㄅㄥˋ beng4 1/4 big5
跰 ㄅㄥˋ beng4 1/4 big5
泵 ㄅㄥˋ beng4 1/4 big5
㧍 ㄅㄥˋ beng4 1/4 utf8
䙀 ㄅㄥˋ beng4 1/4 utf8
䙖 ㄅㄥˋ beng4 1/4 utf8
埄 ㄅㄥˋ beng4 1/4 utf8
挷 ㄅㄥˋ beng4 1/4 utf8
沯 ㄅㄥˋ beng4 1/4 utf8
浜 ㄅㄥˋ beng4 1/4 utf8
綳 ㄅㄥˋ beng4 1/4 utf8
蜯 ㄅㄥˋ beng4 1/4 utf8
逬 ㄅㄥˋ beng4 1/4 utf8
𥦜 ㄅㄥˋ beng4 1/4 utf8
甭 ㄅㄥˊ beng2 1/6 big5
甮 ㄅㄥˊ beng2 1/6 big5
班 ㄅㄢ ban 10 big5
般 ㄅㄢ ban 10 big5
搬 ㄅㄢ ban 10 big5
斑 ㄅㄢ ban 10 big5
頒 ㄅㄢ ban 10 big5
扳 ㄅㄢ ban 10 big5
瘢 ㄅㄢ ban 10 big5
虨 ㄅㄢ ban 10 big5
斒 ㄅㄢ ban 10 big5
攽 ㄅㄢ ban 10 big5
褩 ㄅㄢ ban 10 big5
㻞 ㄅㄢ ban 10 utf8
朌 ㄅㄢ ban 10 utf8
肦 ㄅㄢ ban 10 utf8
螌 ㄅㄢ ban 10 utf8
辬 ㄅㄢ ban 10 utf8
𥾵 ㄅㄢ ban 10 utf8
板 ㄅㄢˇ ban3 103 big5
版 ㄅㄢˇ ban3 103 big5
闆 ㄅㄢˇ ban3 103 big5
阪 ㄅㄢˇ ban3 103 big5
舨 ㄅㄢˇ ban3 103 big5
昄 ㄅㄢˇ ban3 103 big5
鈑 ㄅㄢˇ ban3 103 big5
粄 ㄅㄢˇ ban3 103 big5
蝂 ㄅㄢˇ ban3 103 big5
坂 ㄅㄢˇ ban3 103 big5
岅 ㄅㄢˇ ban3 103 utf8
半 ㄅㄢˋ ban4 104 big5
辦 ㄅㄢˋ ban4 104 big5
伴 ㄅㄢˋ ban4 104 big5
扮 ㄅㄢˋ ban4 104 big5
拌 ㄅㄢˋ ban4 104 big5
絆 ㄅㄢˋ ban4 104 big5
姅 ㄅㄢˋ ban4 104 big5
瓣 ㄅㄢˋ ban4 104 big5
爿 ㄅㄢˋ ban4 104 big5
怑 ㄅㄢˋ ban4 104 big5
湴 ㄅㄢˋ ban4 104 big5
鉡 ㄅㄢˋ ban4 104 big5
靽 ㄅㄢˋ ban4 104 big5
㚘 ㄅㄢˋ ban4 104 utf8
㪵 ㄅㄢˋ ban4 104 utf8
㫠 ㄅㄢˋ ban4 104 utf8
办 ㄅㄢˋ ban4 104 utf8
秚 ㄅㄢˋ ban4 104 utf8
𠰢 ㄅㄢˋ ban4 104 utf8
𧉻 ㄅㄢˋ ban4 104 utf8
八 ㄅㄚ ba 18 big5
捌 ㄅㄚ ba 18 big5
巴 ㄅㄚ ba 18 big5
疤 ㄅㄚ ba 18 big5
芭 ㄅㄚ ba 18 big5
笆 ㄅㄚ ba 18 big5
粑 ㄅㄚ ba 18 big5
叭 ㄅㄚ ba 18 big5
扒 ㄅㄚ ba 18 big5
豝 ㄅㄚ ba 18 big5
吧 ㄅㄚ ba 18 big5
仈 ㄅㄚ ba 18 big5
朳 ㄅㄚ ba 18 big5
峇 ㄅㄚ ba 18 big5
㸭 ㄅㄚ ba 18 utf8
㺩 ㄅㄚ ba 18 utf8
㺫 ㄅㄚ ba 18 utf8
㺴 ㄅㄚ ba 18 utf8
㿬 ㄅㄚ ba 18 utf8
䰾 ㄅㄚ ba 18 utf8
哵 ㄅㄚ ba 18 utf8
岜 ㄅㄚ ba 18 utf8
玌 ㄅㄚ ba 18 utf8
羓 ㄅㄚ ba 18 utf8
釟 ㄅㄚ ba 18 utf8
𢻷 ㄅㄚ ba 18 utf8
𣲩 ㄅㄚ ba 18 utf8
把 ㄅㄚˇ ba3 183 big5
靶 ㄅㄚˇ ba3 183 big5
鈀 ㄅㄚˇ ba3 183 big5
㧱 ㄅㄚˇ ba3 183 utf8
罷 ㄅㄚˋ ba4 184 big5
爸 ㄅㄚˋ ba4 184 big5
霸 ㄅㄚˋ ba4 184 big5
壩 ㄅㄚˋ ba4 184 big5
耙 ㄅㄚˋ ba4 184 big5
弝 ㄅㄚˋ ba4 184 big5
灞 ㄅㄚˋ ba4 184 big5
伯 ㄅㄚˋ ba4 184 big5
猈 ㄅㄚˋ ba4 184 big5
把 ㄅㄚˋ ba4 184 big5
㧱 ㄅㄚˋ ba4 184 utf8
㶚 ㄅㄚˋ ba4 184 utf8
䇑 ㄅㄚˋ ba4 184 utf8
䩻 ㄅㄚˋ ba4 184 utf8
䰾 ㄅㄚˋ ba4 184 utf8
垻 ㄅㄚˋ ba4 184 utf8
欛 ㄅㄚˋ ba4 184 utf8
皅 ㄅㄚˋ ba4 184 utf8
罢 ㄅㄚˋ ba4 184 utf8
覇 ㄅㄚˋ ba4 184 utf8
𣞻 ㄅㄚˋ ba4 184 utf8
𣠽 ㄅㄚˋ ba4 184 utf8
𩨜 ㄅㄚˋ ba4 184 utf8
拔 ㄅㄚˊ ba2 186 big5
跋 ㄅㄚˊ ba2 186 big5
鈸 ㄅㄚˊ ba2 186 big5
魃 ㄅㄚˊ ba2 186 big5
茇 ㄅㄚˊ ba2 186 big5
鼥 ㄅㄚˊ ba2 186 big5
軷 ㄅㄚˊ ba2 186 big5
犮 ㄅㄚˊ ba2 186 big5
菝 ㄅㄚˊ ba2 186 big5
胈 ㄅㄚˊ ba2 186 big5
詙 ㄅㄚˊ ba2 186 big5
